,S
2005-12-12,0.9531547809057275
2005-12-13,0.9489795217389746
2005-12-14,0.9471179640220994
2005-12-15,0.9661246518297245
2005-12-16,0.9726855812365083
2005-12-19,0.9563601300307366
2005-12-20,0.9429012031815959
2005-12-21,0.9415822647187633
2005-12-22,0.9217970366969291
2005-12-23,0.8900274839484126
2005-12-26,0.8958549536642206
2005-12-27,0.8768471015305681
2005-12-28,0.8776804509037922
2005-12-29,0.8781041946857661
2005-12-30,0.8376725002113405
2006-01-02,0.8467791359543702
2006-01-03,0.8467791359543699
2006-01-04,0.8337463755569413
2006-01-05,0.8527853197830678
2006-01-06,0.8489706062448007
2006-01-09,0.8341388872142311
2006-01-10,0.8602136883593215
2006-01-11,0.8826817829389293
2006-01-12,0.8622878614040866
2006-01-13,0.8540403651728684
2006-01-16,0.8581007667315029
2006-01-17,0.8729960774454053
2006-01-18,0.8804285132710885
2006-01-19,0.9112844704171843
2006-01-20,0.9219724019217395
2006-01-23,0.9250153935867258
2006-01-24,0.9342180990584765
2006-01-25,0.920773009833527
2006-01-26,0.9189622988466878
2006-01-27,0.912972178980849
2006-01-30,0.9560973584583305
2006-01-31,0.9526107070780315
2006-02-01,0.9404184240636975
2006-02-02,0.9593048919117236
2006-02-03,0.9684976420019967
2006-02-06,0.966252226218911
2006-02-07,0.9568309496236378
2006-02-08,0.9605712422681231
2006-02-09,0.9843258464362525
2006-02-10,0.9806973339181558
2006-02-13,0.9890366606976533
2006-02-14,0.9840398393538672
2006-02-15,1.0052711515926713
2006-02-16,0.9977678100087946
2006-02-17,1.0017398980875845
2006-02-20,1.0085815895375738
2006-02-21,0.9945076556258845
2006-02-22,0.9999157478772249
2006-02-23,1.00281257116213
2006-02-24,1.0151497205378712
2006-02-27,1.0079269635674326
2006-02-28,1.012686914694964
2006-03-01,1.012267574637996
2006-03-02,1.0098670554038118
2006-03-03,0.9939155171724531
2006-03-06,1.0116728035347438
2006-03-07,1.0013069732960789
2006-03-08,0.9847407113351104
2006-03-09,0.966627241654019
2006-03-10,0.966906563278232
2006-03-13,0.9693324422929107
2006-03-14,0.9674071694680049
2006-03-15,0.9728690904276923
2006-03-16,0.9636840451212348
2006-03-17,0.9811982121522663
2006-03-20,0.9787409558274144
2006-03-21,1.0000351007928465
2006-03-22,0.9807825247370283
2006-03-23,0.9869480069374407
2006-03-24,0.9902428188133222
2006-03-27,0.9877203556231666
2006-03-28,0.9703240706011537
2006-03-29,0.9546002962259929
2006-03-30,0.9807917676813602
2006-03-31,0.9823452302836265
2006-04-03,0.989971690527672
2006-04-04,0.9829424345588842
2006-04-05,0.9905432798315809
2006-04-06,0.979577005052278
2006-04-07,1.0059787781137248
2006-04-10,1.0181421845194312
2006-04-11,1.0204156946769456
2006-04-12,0.9907428618397884
2006-04-13,0.9674209847805983
2006-04-14,0.9505668339650978
2006-04-17,0.962104003287765
2006-04-18,0.9726955767747233
2006-04-19,0.9758290029979363
2006-04-20,0.9931146730691819
2006-04-21,0.9851009228319138
2006-04-24,0.9605412214252255
2006-04-25,0.9895883871207695
2006-04-26,1.0038171459075438
2006-04-27,0.9883276649398985
2006-04-28,0.9979080295920641
2006-05-01,0.997841067699052
2006-05-02,0.97675014744354
2006-05-03,0.9861800442708597
2006-05-04,0.9632956339936175
2006-05-05,0.9752429786726685
2006-05-08,0.9806723196524805
2006-05-09,0.9640936049682236
2006-05-10,0.9787597877128865
2006-05-11,0.986426075609301
2006-05-12,0.9709620391986659
2006-05-15,0.9995549139712756
2006-05-16,0.9634954353132247
2006-05-17,0.9601478396915755
2006-05-18,0.959011244118488
2006-05-19,0.9763241934512152
2006-05-22,0.967487330233217
2006-05-23,0.9894073501799974
2006-05-24,1.0127820875907
2006-05-25,1.0129571648814877
2006-05-26,1.0290522432991527
2006-05-29,1.0480382202870904
2006-05-30,1.058851539813054
2006-05-31,1.04319683821948
2006-06-01,1.0845455283115963
2006-06-02,1.0589138596997834
2006-06-05,1.0765217247768
2006-06-06,1.0743639084009284
2006-06-07,1.0786044649577893
2006-06-08,1.1085799448632834
2006-06-09,1.1731928660085014
2006-06-12,1.1658071308268982
2006-06-13,1.1587118944726502
2006-06-14,1.1842477940867908
2006-06-15,1.1848151223009469
2006-06-16,1.1903202140387972
2006-06-19,1.2306034786292868
2006-06-20,1.2307994614102737
2006-06-21,1.2291113936827447
2006-06-22,1.22398177525768
2006-06-23,1.2732582691529488
2006-06-26,1.2525723798914858
2006-06-27,1.2440151142455445
2006-06-28,1.2378435520605207
2006-06-29,1.2531926717786885
2006-06-30,1.2502950765608627
2006-07-03,1.2884504145764253
2006-07-04,1.294546261141259
2006-07-05,1.2895459822086461
2006-07-06,1.273932866698022
2006-07-07,1.2807167440821814
2006-07-10,1.273679387415703
2006-07-11,1.2750940817744312
2006-07-12,1.275979150997517
2006-07-13,1.2628859065979994
2006-07-14,1.2638569761510885
2006-07-17,1.2501752387301635
2006-07-18,1.231836314997867
2006-07-19,1.241939202746093
2006-07-20,1.2501250588312167
2006-07-21,1.3037522530752406
2006-07-24,1.301893201272037
2006-07-25,1.299501052155649
2006-07-26,1.3080244653968545
2006-07-27,1.2861451101970693
2006-07-28,1.276069386879141
2006-07-31,1.2596349458426621
2006-08-01,1.257612454403954
2006-08-02,1.2381319243868236
2006-08-03,1.2375367264769896
2006-08-04,1.234153516280287
2006-08-07,1.2325082389144237
2006-08-08,1.2553696459205603
2006-08-09,1.263627697369458
2006-08-10,1.2682029125144434
2006-08-11,1.2640957169977456
2006-08-14,1.2682839628073093
2006-08-15,1.2976503826113148
2006-08-16,1.2741056496871694
2006-08-17,1.2658925793520457
2006-08-18,1.2580515595907338
2006-08-21,1.2431452943003196
2006-08-22,1.2513442220092432
2006-08-23,1.2683804071496736
2006-08-24,1.2451769396942085
2006-08-25,1.2591820644778149
2006-08-28,1.2484298298025398
2006-08-29,1.2465881231488107
2006-08-30,1.2396010415158638
2006-08-31,1.2130395531705216
2006-09-01,1.1522618156193258
2006-09-04,1.1519211653536758
2006-09-05,1.155693791368947
2006-09-06,1.1003932962748557
2006-09-07,1.1254695998588882
2006-09-08,1.1562634713678506
2006-09-11,1.1091538031006094
2006-09-12,1.1387644496523788
2006-09-13,1.1448627614456097
2006-09-14,1.158271626298056
2006-09-15,1.120257787344673
2006-09-18,1.1264125392710487
2006-09-19,1.1288725671908562
2006-09-20,1.125009473604464
2006-09-21,1.1094983758355055
2006-09-22,1.1054428253205775
2006-09-25,1.076575949256432
2006-09-26,1.088243101330519
2006-09-27,1.083850435085912
2006-09-28,1.11441464572356
2006-09-29,1.100666781030778
2006-10-02,1.1025736405882012
2006-10-03,1.1015034657918787
2006-10-04,1.101260976846313
2006-10-05,1.0954593633247212
2006-10-06,1.1387113832777804
2006-10-09,1.100539457488218
2006-10-10,1.101824962298063
2006-10-11,1.0899788269250952
2006-10-12,1.0990809530981136
2006-10-13,1.0248481565326422
2006-10-16,1.0244904012744998
2006-10-17,1.0190855734094204
2006-10-18,1.01592586305317
2006-10-19,1.0076487345861551
2006-10-20,0.9950988484099336
2006-10-23,1.0128795943273554
2006-10-24,1.0093995638260786
2006-10-25,1.0082370595478427
2006-10-26,1.0161822434776808
2006-10-27,1.0262168012347896
2006-10-30,1.0317065887525332
2006-10-31,1.0300271983104865
2006-11-01,1.0035235380466976
2006-11-02,1.0035881334058954
2006-11-03,0.9918199653612263
2006-11-06,0.999092128016872
2006-11-07,0.976310939723021
2006-11-08,0.9619091085586265
2006-11-09,0.9492408724604184
2006-11-10,0.9634059686538732
2006-11-13,0.9581831741188527
2006-11-14,0.9414456679329738
2006-11-15,0.9474480559675792
2006-11-16,0.9532322838538106
2006-11-17,0.9450258905023887
2006-11-20,0.9357142730404094
2006-11-21,0.9665463907949526
2006-11-22,0.9509171242267656
2006-11-23,0.9721824589964587
2006-11-24,0.9842180104267996
2006-11-27,0.9939450756367998
2006-11-28,0.988044611861948
2006-11-29,0.9826870957805774
2006-11-30,0.9977791647557984
2006-12-01,0.9796236940228774
2006-12-04,0.9774832661224088
2006-12-05,0.9572622127300766
2006-12-06,0.9503872718785178
2006-12-07,0.9408149665509913
2006-12-08,0.9346791404394682
2006-12-11,0.938659065564604
2006-12-12,0.9304040577934591
2006-12-13,0.9405470219115865
2006-12-14,0.9367767546631146
2006-12-15,0.9441973346498679
2006-12-18,0.9301988240056682
2006-12-19,0.9249284582399707
2006-12-20,0.9279693769395413
2006-12-21,0.8999213712701671
2006-12-22,0.8973809067982279
2006-12-25,0.895678660877318
2006-12-26,0.8817113857776596
2006-12-27,0.8925722757583753
2006-12-28,0.9002067054174716
2006-12-29,0.8436688634527707
2007-01-04,0.8311563508225089
2007-01-05,0.8298306800423106
2007-01-09,0.860669646971613
2007-01-10,0.8604750557290256
2007-01-11,0.8917942711472295
2007-01-12,0.9007594965246306
2007-01-15,0.9370998360905153
2007-01-16,0.9375810881408242
2007-01-17,0.9443005746278036
2007-01-18,0.9450854915056173
2007-01-19,0.9370580539395985
2007-01-22,0.935605828612149
2007-01-23,0.9263757964735587
2007-01-24,0.9344587900783649
2007-01-25,0.9376638302195323
2007-01-26,0.9364165937161146
2007-01-29,0.8953260352738593
2007-01-30,0.8918179004116954
2007-01-31,0.9041839237919016
2007-02-01,0.9133940906443018
2007-02-02,0.9101092687484412
2007-02-05,0.8927004218744775
2007-02-06,0.9051419957274559
2007-02-07,0.8969114299134419
2007-02-08,0.8897831691731505
2007-02-09,0.8924197806151134
2007-02-13,0.8912540624600084
2007-02-14,0.8692556976243205
2007-02-15,0.8607686229921719
2007-02-16,0.8739171210039561
2007-02-19,0.8785964836322324
2007-02-20,0.8467346086965258
2007-02-21,0.8397507509159169
2007-02-22,0.8339183737050158
2007-02-23,0.837402309835224
2007-02-26,0.8229837749761825
2007-02-27,0.8251127937385567
2007-02-28,0.8119423852571076
2007-03-01,0.8946335855998635
2007-03-02,0.8972167621808165
2007-03-05,0.9170820620016196
2007-03-06,0.9642104226022025
2007-03-07,0.9721739071313289
2007-03-08,0.9706228955577023
2007-03-09,0.9857859001167788
2007-03-12,0.9792488965772873
2007-03-13,0.971445808933534
2007-03-14,0.9778782424907237
2007-03-15,1.0222773012211106
