Date,7203.T,7267.T,7201.T,7261.T,7269.T,6758.T,6861.T,6902.T,6501.T,6752.T,6702.T,6503.T,6762.T,6971.T,8316.T,8411.T,8766.T,8801.T,9432.T,9433.T,9983.T,2914.T,4452.T,4911.T,7751.T,4502.T,4503.T,4519.T,4568.T,6301.T,6326.T,7011.T,7012.T,4063.T,5401.T,3407.T,9020.T,9022.T,9984.T
2008-08-20,607.8814697265625,713.2523193359375,557.3856811523438,1999.025390625,454.9939880371094,713.23974609375,4408.9482421875,459.0310363769531,578.5114135742188,1621.2528076171875,594.7451171875,677.5206298828125,316.9244384765625,801.9478759765625,1138.057373046875,2269.65283203125,700.6747436523438,575.671142578125,30.673547744750977,316.8780212402344,3020.25,1198.1414794921875,2027.741943359375,1853.937255859375,2548.265380859375,2750.8828125,556.0629272460938,406.8752746582031,687.6904907226562,1457.711181640625,539.19482421875,367.39404296875,1830.9932861328125,890.9547119140625,533.5849609375,305.409912109375,2118.721435546875,1876.2325439453125,207.82542419433594
2008-08-21,602.8470458984375,703.2908325195312,554.7315673828125,1977.4530029296875,445.1454162597656,704.6051635742188,4364.33544921875,464.0845642089844,577.7755126953125,1606.8736572265625,584.61181640625,663.9557495117188,311.0736083984375,781.8114624023438,1114.4530029296875,2230.855712890625,692.8240966796875,570.6323852539062,29.754497528076172,312.4080505371094,2962.008056640625,1171.7298583984375,2031.15478515625,1869.0103759765625,2522.984130859375,2712.2744140625,552.49853515625,405.4552001953125,683.2962646484375,1463.7470703125,541.9993286132812,363.9214782714844,1830.9932861328125,886.664306640625,536.6873779296875,304.1784362792969,2098.66259765625,1838.77587890625,202.34751892089844
2008-08-22,600.3301391601562,685.35986328125,550.7503051757812,1966.667236328125,442.19091796875,711.5128784179688,4290.626953125,442.18585205078125,584.399658203125,1588.8997802734375,592.4066162109375,648.2494506835938,302.7847595214844,774.8075561523438,1073.98876953125,2138.711669921875,694.7867431640625,568.1130981445312,30.328901290893555,315.3880310058594,2931.49951171875,1150.1199951171875,2020.9144287109375,1853.937255859375,2512.872802734375,2726.7529296875,560.815673828125,404.2717590332031,689.8875122070312,1424.5130615234375,518.1597900390625,359.7544860839844,1764.5460205078125,865.2127075195312,523.2442016601562,298.02093505859375,2088.633544921875,1825.15576171875,202.5710906982422
2008-08-25,617.9497680664062,715.2446899414062,568.002685546875,2009.8118896484375,453.02423095703125,742.5983276367188,4339.11962890625,464.0845642089844,591.0238037109375,1621.2528076171875,608.7760009765625,667.5255126953125,306.6853942871094,788.8154907226562,1119.5113525390625,2240.55419921875,702.6375122070312,584.4888305664062,30.5012264251709,313.4013366699219,2975.87451171875,1190.9384765625,2041.3961181640625,1880.3145751953125,2583.65869140625,2760.5361328125,565.5684204101562,411.3724670410156,700.873046875,1436.585205078125,531.4818725585938,367.39404296875,1794.078125,883.8040161132812,530.4827270507812,303.56268310546875,2123.736572265625,1893.2586669921875,203.57723999023438
2008-08-26,616.691162109375,719.2295532226562,566.6754760742188,2060.147216796875,454.0090637207031,730.5093994140625,4240.19482421875,475.8763122558594,585.8716430664062,1614.0635986328125,593.1861572265625,658.95849609375,306.1977844238281,782.6868896484375,1102.651123046875,2230.855712890625,706.5628051757812,578.1904907226562,29.81193733215332,309.4279479980469,2932.62451171875,1166.9278564453125,2055.051025390625,1853.937255859375,2558.377197265625,2721.927001953125,558.4393310546875,405.69183349609375,694.2818603515625,1415.45849609375,533.5853881835938,366.0050964355469,1794.078125,886.664306640625,524.2784423828125,301.7154541015625,2113.707763671875,1864.314697265625,200.78236389160156
2008-08-27,600.3301391601562,703.2908325195312,540.1333618164062,2020.597900390625,445.1454162597656,720.1477661132812,4234.37646484375,464.0845642089844,591.0238037109375,1585.3052978515625,588.5093383789062,663.9557495117188,302.297119140625,785.3131713867188,1094.2210693359375,2216.306396484375,704.6001586914062,578.1904907226562,29.754497528076172,308.43463134765625,2932.62451171875,1200.54248046875,2044.8101806640625,1880.3145751953125,2553.321533203125,2775.013427734375,567.9446411132812,408.058837890625,711.8585815429688,1379.2425537109375,522.3665771484375,355.5875549316406,1735.013671875,870.9332275390625,520.1420288085938,308.48870849609375,2118.721435546875,1862.612060546875,201.67677307128906
2008-08-28,600.3301391601562,695.321533203125,540.1333618164062,2042.17041015625,444.1607666015625,716.693603515625,4230.49658203125,468.2959289550781,584.399658203125,1592.49462890625,584.61181640625,652.5328979492188,305.71026611328125,788.8154907226562,1084.10498046875,2192.05810546875,706.5628051757812,560.5550537109375,29.81193733215332,306.9444885253906,3002.3828125,1202.9439697265625,2075.53271484375,1902.9237060546875,2421.863037109375,2721.927001953125,575.07373046875,417.2898254394531,705.2672119140625,1346.0443115234375,518.8607788085938,353.50396728515625,1720.2476806640625,863.78271484375,512.903564453125,310.3359069824219,2143.796142578125,1866.017333984375,198.9936981201172
2008-08-29,620.467041015625,713.2523193359375,558.04931640625,2110.48193359375,455.9786071777344,732.236572265625,4315.8447265625,480.9296875,595.4398193359375,1635.63232421875,593.1861572265625,666.8116455078125,312.04864501953125,808.0759887695312,1129.6273193359375,2279.35205078125,732.077392578125,580.7097778320312,31.13309097290039,317.8713684082031,3105.62451171875,1243.762451171875,2116.497314453125,1936.8363037109375,2502.760009765625,2765.361328125,589.3317260742188,427.4676513671875,725.0410766601562,1397.3505859375,543.4017333984375,365.310546875,1794.078125,876.6536254882812,540.8235473632812,317.72491455078125,2181.40625,1935.822265625,203.01828002929688
2008-09-01,606.6228637695312,689.3444213867188,543.451171875,2024.1925048828125,443.1757507324219,714.9664306640625,4216.91796875,457.3464660644531,591.0238037109375,1599.6842041015625,586.1710205078125,647.5355224609375,303.2723388671875,787.0642700195312,1102.651123046875,2235.704833984375,706.5628051757812,569.3728637695312,30.616111755371094,308.43463134765625,3055.398193359375,1210.14697265625,2089.1884765625,1914.228515625,2437.03125,2736.40576171875,581.014404296875,418.94671630859375,711.8585815429688,1394.3326416015625,537.0914916992188,368.0885314941406,1771.9288330078125,858.0623168945312,532.5510864257812,313.41455078125,2138.781005859375,1894.9610595703125,203.46548461914062
2008-09-02,597.8131103515625,669.4215087890625,542.1239624023438,2034.979248046875,430.3730163574219,702.877685546875,4131.57275390625,444.7125549316406,585.8716430664062,1603.2789306640625,572.1400146484375,642.5379028320312,294.00830078125,771.3057250976562,1095.9073486328125,2211.456298828125,710.48828125,570.6323852539062,30.558671951293945,305.4544982910156,3072.140380859375,1181.3338623046875,2061.878662109375,1944.3726806640625,2371.302001953125,2683.3173828125,560.815673828125,411.845947265625,711.8585815429688,1361.134521484375,532.18310546875,365.310546875,1742.39697265625,829.460205078125,535.6532592773438,313.41455078125,2128.750732421875,1869.4228515625,201.00599670410156
2008-09-03,610.3984985351562,703.2908325195312,555.3952026367188,2027.7886962890625,426.43353271484375,706.331787109375,4139.33154296875,457.3464660644531,597.6481323242188,1610.4688720703125,581.4938354492188,638.9681396484375,290.5953063964844,779.1847534179688,1089.1629638671875,2211.456298828125,728.1521606445312,559.2952880859375,31.13309097290039,310.91796875,3161.431396484375,1205.344970703125,2123.324951171875,1959.44580078125,2411.7509765625,2770.18798828125,566.7564697265625,415.6329345703125,718.449951171875,1264.55712890625,524.4701538085938,373.6446533203125,1727.630859375,810.8687744140625,520.1420288085938,308.48870849609375,2141.2880859375,1901.77099609375,197.6521759033203
2008-09-04,612.9157104492188,725.2064208984375,550.7503051757812,2034.979248046875,432.3426818847656,699.423828125,4083.07861328125,462.39996337890625,595.4398193359375,1606.8736572265625,567.4632568359375,622.5478515625,287.1822814941406,770.4304809570312,1035.2108154296875,2138.711669921875,724.22705078125,550.4776000976562,30.616111755371094,311.9112854003906,3314.89892578125,1190.9384765625,2184.772216796875,1963.2137451171875,2411.7509765625,2731.57861328125,572.6973266601562,420.3668518066406,707.4644165039062,1213.250732421875,504.13653564453125,369.4775695800781,1639.0340576171875,790.8473510742188,502.56256103515625,315.8774719238281,2136.272705078125,1857.5048828125,190.9445343017578
2008-09-05,597.8131103515625,717.2369995117188,530.8435668945312,1894.7593994140625,426.43353271484375,670.0654296875,4069.501220703125,454.8197937011719,585.1358032226562,1556.546630859375,552.6530151367188,591.8488159179688,280.356201171875,750.2938232421875,986.3163452148438,2002.92041015625,688.8987426757812,525.2843627929688,29.582172393798828,304.4611511230469,3155.849853515625,1152.5211181640625,2130.152587890625,1917.99560546875,2340.96630859375,2659.186767578125,554.875,407.5853271484375,696.47900390625,1160.1328125,475.3886413574219,357.67095947265625,1572.587158203125,752.2344970703125,476.7107238769531,306.6413879394531,2121.229248046875,1831.9658203125,182.33639526367188
2008-09-08,621.7255249023438,727.1987915039062,546.7689208984375,1952.2857666015625,444.1607666015625,695.9700317382812,4143.21142578125,472.5071105957031,593.9678955078125,1578.1151123046875,562.0067138671875,626.1176147460938,286.2071228027344,783.5623168945312,1136.3714599609375,2245.404296875,751.704345703125,569.3728637695312,29.065200805664062,307.93792724609375,3186.54345703125,1176.5321044921875,2164.28955078125,1951.909423828125,2396.58203125,2654.361328125,550.1221313476562,409.47906494140625,703.0703125,1228.3409423828125,502.7342529296875,362.5323791503906,1705.4818115234375,790.8473510742188,510.8352355957031,317.1091003417969,2131.259033203125,1859.20703125,187.81422424316406
2008-09-09,620.467041015625,701.298583984375,536.1520385742188,1804.875244140625,434.3123474121094,678.7003173828125,4077.2587890625,459.8731689453125,577.7755126953125,1538.5726318359375,530.048095703125,598.2743530273438,280.356201171875,766.0525512695312,1112.7672119140625,2216.306396484375,741.8906860351562,563.0745239257812,28.777992248535156,302.9712219238281,3175.3818359375,1147.718994140625,2212.081298828125,1887.8504638671875,2346.021484375,2697.7958984375,558.4393310546875,415.3962097167969,689.8875122070312,1166.7728271484375,469.7796325683594,354.19842529296875,1616.8853759765625,776.5463256835938,490.1536865234375,315.2618713378906,2066.0673828125,1821.750244140625,180.43588256835938
2008-09-10,619.2083129882812,723.214111328125,537.4791259765625,1858.8060302734375,436.281982421875,659.7034912109375,4090.838134765625,471.6649169921875,565.9991455078125,1517.0037841796875,528.4891357421875,578.2839965820312,267.1916809082031,738.0369873046875,1148.1734619140625,2279.35205078125,755.6297607421875,575.671142578125,29.23752212524414,303.9644775390625,3172.591796875,1109.3013916015625,2212.081298828125,1948.1409912109375,2255.01171875,2668.8388671875,565.5684204101562,412.55584716796875,696.47900390625,1131.15966796875,474.6877136230469,341.0028076171875,1579.9700927734375,749.3744506835938,469.4721374511719,309.1043701171875,2043.5006103515625,1828.560546875,183.78970336914062
2008-09-11,607.8814697265625,707.2755126953125,527.5257568359375,1664.6561279296875,415.6003723144531,635.5260009765625,3941.48095703125,460.71563720703125,538.7664184570312,1491.8399658203125,536.2838745117188,550.4408569335938,262.3159484863281,724.0292358398438,1095.9073486328125,2158.110107421875,714.413330078125,566.8535766601562,28.490795135498047,301.481201171875,3183.753173828125,1054.076416015625,2157.461669921875,1948.1409912109375,2174.114990234375,2635.056884765625,547.7457885742188,409.005615234375,676.7050170898438,1107.6190185546875,455.75634765625,322.2511901855469,1543.054931640625,740.7938232421875,458.09722900390625,301.0997009277344,2008.3978271484375,1767.268310546875,188.59681701660156
2008-09-12,602.8470458984375,693.3292846679688,523.5446166992188,1614.3209228515625,395.9037170410156,642.433837890625,3989.97265625,457.3464660644531,534.3504028320312,1513.4085693359375,541.740234375,568.2890625,263.2911071777344,724.0292358398438,1156.603271484375,2269.65283203125,726.1895751953125,594.5662841796875,28.490795135498047,303.9644775390625,3183.753173828125,1073.285400390625,2164.28955078125,1963.2137451171875,2158.947265625,2625.40478515625,557.2511596679688,409.005615234375,681.0992431640625,1146.853759765625,469.7796325683594,331.27972412109375,1646.41748046875,737.9334106445312,472.57440185546875,301.0997009277344,2033.4718017578125,1775.78125,190.9445343017578
2008-09-16,580.1932373046875,669.4215087890625,492.3575439453125,1578.3671875,379.3585510253906,609.6213989257812,3836.513427734375,426.1830139160156,533.6143188476562,1419.9443359375,509.0020751953125,547.5850830078125,251.10162353515625,683.7567138671875,1043.640869140625,2027.16845703125,633.9436645507812,525.2843627929688,26.825000762939453,284.09759521484375,2996.80126953125,989.2472534179688,2116.497314453125,1933.0682373046875,1941.53515625,2538.53466796875,522.7942504882812,386.9931640625,654.7341918945312,1069.5919189453125,450.84808349609375,318.08416748046875,1528.2889404296875,700.7508544921875,439.48388671875,286.32177734375,1945.7139892578125,1733.2164306640625,180.3240509033203
