,S
2009-06-25,1.532174063444914
2009-06-26,1.5533324345965414
2009-06-29,1.548889518376175
2009-06-30,1.5322779093638523
2009-07-01,1.5440615042905892
2009-07-02,1.5774759170455606
2009-07-06,1.5790859002746092
2009-07-07,1.5764861441556457
2009-07-08,1.5408107198373604
2009-07-09,1.5631432458762335
2009-07-10,1.5662900439626832
2009-07-13,1.5681062648905677
2009-07-14,1.5704072649752627
2009-07-15,1.5723425462721528
2009-07-16,1.5437038938454646
2009-07-17,1.5273991686964385
2009-07-20,1.525311234795209
2009-07-21,1.5566511054820482
2009-07-22,1.539524242056219
2009-07-23,1.517979722403105
2009-07-24,1.5494247600754891
2009-07-27,1.5460836491461374
2009-07-28,1.547668089742823
2009-07-29,1.5350895665695259
2009-07-30,1.4913849982570524
2009-07-31,1.4989327999320592
2009-08-03,1.4868689892698728
2009-08-04,1.4854356269075166
2009-08-05,1.4652339891291817
2009-08-06,1.4618055205441591
2009-08-07,1.471825846445765
2009-08-10,1.451044574686025
2009-08-11,1.4529017163959854
2009-08-12,1.4680791224204046
2009-08-13,1.4190956587538233
2009-08-14,1.4264908955118207
2009-08-17,1.4381286682750156
2009-08-18,1.4390125131286609
2009-08-19,1.4333911455931376
2009-08-20,1.414709226012613
2009-08-21,1.3919532936843593
2009-08-24,1.4114732147995213
2009-08-25,1.4150840992619858
2009-08-26,1.3879265416593636
2009-08-27,1.3872196472536007
2009-08-28,1.361045614609531
2009-08-31,1.374204269812369
2009-09-01,1.3786461864677462
2009-09-02,1.4250127258382468
2009-09-03,1.445113139716479
2009-09-04,1.4301481977302264
2009-09-08,1.4409518374379737
2009-09-09,1.4606250358219506
2009-09-10,1.4138003919083206
2009-09-11,1.392560648785318
2009-09-14,1.3915672052274624
2009-09-15,1.3913393914122858
2009-09-16,1.386935802322127
2009-09-17,1.323478540726692
2009-09-18,1.3186658390465604
2009-09-21,1.3364203073891747
2009-09-22,1.3150389705880463
2009-09-23,1.3006035521210135
2009-09-24,1.31004934846084
2009-09-25,1.311396760705531
2009-09-28,1.3065885071811099
2009-09-29,1.2683348458287729
2009-09-30,1.2815259850420957
2009-10-01,1.263055329172957
2009-10-02,1.3176677636234353
2009-10-05,1.3197456602992388
2009-10-06,1.325237829690716
2009-10-07,1.3172976279953685
2009-10-08,1.3393268310959263
2009-10-09,1.2722102895021954
2009-10-12,1.2503663726236818
2009-10-13,1.233721056664931
2009-10-14,1.2374628640091236
2009-10-15,1.2497752132713016
2009-10-16,1.280061043258167
2009-10-19,1.2656977138469268
2009-10-20,1.2608910266812978
2009-10-21,1.2657371767801804
2009-10-22,1.2904932829182074
2009-10-23,1.2674745038309572
2009-10-26,1.2716174267279077
2009-10-27,1.2621489735004725
2009-10-28,1.2621186529299995
2009-10-29,1.296924527714868
2009-10-30,1.3122834206096579
2009-11-02,1.347333789490743
2009-11-03,1.3540404412135572
2009-11-04,1.3590051123714308
2009-11-05,1.354147338931481
2009-11-06,1.3876951266389361
2009-11-09,1.4028747737583722
2009-11-10,1.399162559607798
2009-11-11,1.3546015526798938
2009-11-12,1.3575166696925742
2009-11-13,1.36549315911914
2009-11-16,1.3586976873798515
2009-11-17,1.3567650174431582
2009-11-18,1.3569484730430057
2009-11-19,1.3459172522840652
2009-11-20,1.331778150178529
2009-11-23,1.3523026108117477
2009-11-24,1.3728260047312075
2009-11-25,1.3703294435781155
2009-11-27,1.3282278989504175
2009-11-30,1.3849277472689978
2009-12-01,1.4162566085861246
2009-12-02,1.4155851871211003
2009-12-03,1.4121828831791623
2009-12-04,1.40133095518276
2009-12-07,1.40035754314491
2009-12-08,1.4086591811234137
2009-12-09,1.4311628586044316
2009-12-10,1.4257838613523068
2009-12-11,1.4012423877443776
2009-12-14,1.3997048480474028
2009-12-15,1.3857083945356803
2009-12-16,1.3826421459803002
2009-12-17,1.379541463139121
2009-12-18,1.3840968798352682
2009-12-21,1.3849352616915167
2009-12-22,1.4025965454847469
2009-12-23,1.409662981868247
2009-12-24,1.4077225740113255
2009-12-28,1.431847495364012
2009-12-29,1.3983820956951847
2009-12-30,1.4068508183450101
2009-12-31,1.4027916252351742
2010-01-04,1.4191910089901194
2010-01-05,1.4279213642530828
2010-01-06,1.4388096314339405
2010-01-07,1.4429913358202013
2010-01-08,1.4510375852795887
2010-01-11,1.4429287971942766
2010-01-12,1.4256800821108357
2010-01-13,1.4144027977590399
2010-01-14,1.430643173360372
2010-01-15,1.4076863601517355
2010-01-19,1.4355173353122077
2010-01-20,1.4755917277471455
2010-01-21,1.4859013173811182
2010-01-22,1.4942848011689474
2010-01-25,1.5297837737215123
2010-01-26,1.5343077018666962
2010-01-27,1.4908311142632173
2010-01-28,1.4586752888518977
2010-01-29,1.4003433646025483
2010-02-01,1.3866254853555733
2010-02-02,1.3955602390959934
2010-02-03,1.4114248355333625
2010-02-04,1.3664985630770738
2010-02-05,1.4248840326933943
2010-02-08,1.3966069342557752
2010-02-09,1.4118637066228839
2010-02-10,1.4356472877275956
2010-02-11,1.4438160442946648
2010-02-12,1.4462502118382088
2010-02-16,1.4211845891875852
2010-02-17,1.4600085402738887
2010-02-18,1.4597707263566888
2010-02-19,1.4433403133322338
2010-02-22,1.4271891085616177
2010-02-23,1.4195305018952633
2010-02-24,1.4444852234317196
2010-02-25,1.4530922832307989
2010-02-26,1.4198745983973022
2010-03-01,1.4168813949052466
2010-03-02,1.4139808958571494
2010-03-03,1.404601809449498
2010-03-04,1.3853407817372343
2010-03-05,1.411177765479624
2010-03-08,1.4458323095187484
2010-03-09,1.4192863764281942
2010-03-10,1.4302555545147133
2010-03-11,1.4296921525037645
2010-03-12,1.417789337590422
2010-03-15,1.4134518766922437
2010-03-16,1.411573459566783
2010-03-17,1.4210040943669422
2010-03-18,1.4176634043028866
2010-03-19,1.4262074528247206
2010-03-22,1.4343143257754565
2010-03-23,1.4235256922066246
2010-03-24,1.451643876439776
2010-03-25,1.4329921762526054
2010-03-26,1.4359852882067183
2010-03-29,1.4318060492137383
2010-03-30,1.4433016310474582
2010-03-31,1.403267033572452
2010-04-01,1.390840121672073
2010-04-05,1.384889862662791
2010-04-06,1.3857098411231044
2010-04-07,1.3824523468662009
2010-04-08,1.3903457592482646
2010-04-09,1.3784263953369766
2010-04-12,1.3872011063120717
2010-04-13,1.400180690246518
2010-04-14,1.3975483951027632
2010-04-15,1.4305417729395424
2010-04-16,1.3988670122303228
2010-04-19,1.4200650790036822
2010-04-20,1.3792093329307185
2010-04-21,1.2992982403917859
2010-04-22,1.296988800133771
2010-04-23,1.29980646360228
2010-04-26,1.3216712046034327
2010-04-27,1.306368686108486
2010-04-28,1.3439985217284707
2010-04-29,1.3698866511114771
2010-04-30,1.3652030386133183
2010-05-03,1.3831710052647723
2010-05-04,1.3082112732964075
2010-05-05,1.3534215453496663
2010-05-06,1.3348337534403394
2010-05-07,1.4692560593896973
2010-05-10,1.4755108610464995
2010-05-11,1.603243286374042
2010-05-12,1.6015177049749683
2010-05-13,1.582584983864422
2010-05-14,1.588123118006955
2010-05-17,1.594909956444145
2010-05-18,1.5764836031732345
2010-05-19,1.5769436744786334
2010-05-20,1.5773144512473851
2010-05-21,1.6523676021905003
2010-05-24,1.66577509370803
2010-05-25,1.6877003616988386
2010-05-26,1.6809784633145186
2010-05-27,1.6717800475445468
2010-05-28,1.7395266187746472
2010-06-01,1.7290080152092098
2010-06-02,1.7079213396769104
2010-06-03,1.7435523986778636
2010-06-04,1.7491163420872182
2010-06-07,1.8067162762572788
2010-06-08,1.8302652933266765
2010-06-09,1.8218076200965463
2010-06-10,1.8359705255818333
2010-06-11,1.8814316402062339
2010-06-14,1.865393959984585
2010-06-15,1.8566307229727732
2010-06-16,1.877110663277038
2010-06-17,1.8554060846440605
2010-06-18,1.8433209746072425
2010-06-21,1.840079135227028
2010-06-22,1.865377026725273
2010-06-23,1.866927233860455
2010-06-24,1.860037386812129
2010-06-25,1.878913790852588
2010-06-28,1.8657127409850913
2010-06-29,1.8691637216742438
2010-06-30,1.9120168561075372
2010-07-01,1.9223505607165425
2010-07-02,1.910681672073016
2010-07-06,1.9222042874803442
2010-07-07,1.9171323656621364
2010-07-08,1.9609409931133042
2010-07-09,1.9589541792904197
2010-07-12,1.9743995210750667
2010-07-13,1.9896769934606624
2010-07-14,2.0190104193000997
2010-07-15,1.9938118309068558
2010-07-16,1.9706408286607817
