Date,V,V_raw,Volume,Price,TED,BAA,VIX,Phi_TED,Phi_BAA,Phi_VIX
2014-07-18,0.11370215172222223,0.1666068811111111,149946193,163.943,0.21,2.2,12.06,4.761904761904762,0.45454545454545453,8.291873963515755
2014-07-21,0.11153619466666667,0.09051401666666667,81462615,163.606,0.2,2.19,12.81,5.0,0.4566210045662101,7.8064012490242
2014-07-22,0.11134119227777779,0.09066177555555556,81595598,164.346,0.2,2.19,12.24,5.0,0.4566210045662101,8.169934640522875
2014-07-23,0.1092895885,0.08789478,79105302,164.699,0.2,2.2,11.52,5.0,0.45454545454545453,8.680555555555555
2014-07-24,0.10755382422222222,0.07617601,68558409,164.709,0.21,2.2,11.84,4.761904761904762,0.45454545454545453,8.445945945945946
2014-07-25,0.10705379127777778,0.10295998777777778,92663989,163.951,0.2,2.19,12.69,5.0,0.4566210045662101,7.880220646178094
2014-07-28,0.1069049785,0.09277180222222223,83494622,164.009,0.2,2.19,12.56,5.0,0.4566210045662101,7.961783439490445
2014-07-29,0.10757262555555555,0.10781179,97030611,163.272,0.22,2.18,13.28,4.545454545454546,0.4587155963302752,7.530120481927711
2014-07-30,0.10849736094444444,0.1396426311111111,125678368,163.291,0.2,2.17,13.33,5.0,0.4608294930875576,7.501875468867217
2014-07-31,0.1172648095,0.24567282777777777,221105545,160.124,0.21,2.17,16.95,4.761904761904762,0.4608294930875576,5.899705014749263
2014-08-01,0.12639578972222223,0.25356533,228208797,159.596,0.21,2.23,17.03,4.761904761904762,0.4484304932735426,5.871990604815032
2014-08-04,0.12837890300000002,0.12232571333333334,110093142,160.738,0.2,2.24,15.12,5.0,0.4464285714285714,6.613756613756614
2014-08-05,0.13136250227777777,0.20457238111111112,184115143,159.186,0.21,2.25,16.87,4.761904761904762,0.4444444444444444,5.927682276229993
2014-08-06,0.13282085383333334,0.12697322444444445,114275902,159.244,0.2,2.26,16.37,5.0,0.4424778761061947,6.108735491753206
2014-08-07,0.13527080516666665,0.18170646555555556,163535819,158.402,0.2,2.28,16.66,5.0,0.4385964912280702,6.002400960384153
2014-08-08,0.1388061456111111,0.15678985,141110865,160.229,0.21,2.27,15.77,4.761904761904762,0.44052863436123346,6.341154090044388
2014-08-11,0.13987383316666668,0.09987374333333333,89886369,160.698,0.19,2.28,14.23,5.2631578947368425,0.4385964912280702,7.027406886858749
2014-08-12,0.1373461573888889,0.09865302,88787718,160.448,0.2,2.29,14.13,5.0,0.4366812227074236,7.077140835102618
2014-08-13,0.13660577944444444,0.09245160111111111,83206441,161.542,0.19,2.31,12.9,5.2631578947368425,0.4329004329004329,7.751937984496124
2014-08-14,0.13072197994444446,0.07681576777777778,69134191,162.323,0.19,2.29,12.42,5.2631578947368425,0.4366812227074236,8.051529790660226
2014-08-15,0.13176842483333334,0.1875357788888889,168782201,162.286,0.2,2.29,13.15,5.0,0.4366812227074236,7.604562737642586
2014-08-18,0.13228874294444443,0.10092037888888888,90828341,163.616,0.2,2.31,12.32,5.0,0.4329004329004329,8.116883116883116
2014-08-19,0.13171087377777776,0.07910439222222222,71193953,164.485,0.2,2.33,12.21,5.0,0.4291845493562232,8.19000819000819
2014-08-20,0.13218569177777778,0.09739114,87652026,164.899,0.19,2.3,11.78,5.2631578947368425,0.4347826086956522,8.488964346349746
2014-08-21,0.13291754733333333,0.09081312111111112,81731809,165.398,0.21,2.28,11.76,4.761904761904762,0.4385964912280702,8.503401360544219
2014-08-22,0.13286815216666664,0.10197208444444444,91774876,165.128,0.21,2.26,11.47,4.761904761904762,0.4424778761061947,8.718395815170009
2014-08-25,0.13250637577777777,0.08553627444444445,76982647,165.992,0.21,2.25,11.7,4.761904761904762,0.4444444444444444,8.547008547008547
2014-08-26,0.13028316994444444,0.06334767333333333,57012906,166.093,0.21,2.26,11.63,4.761904761904762,0.4424778761061947,8.598452278589853
2014-08-27,0.1265080362777778,0.06413995777777778,57725962,166.041,0.19,2.24,11.78,5.2631578947368425,0.4464285714285714,8.488964346349746
2014-08-28,0.1181259955,0.07803201222222222,70228811,165.953,0.2,2.23,12.05,5.0,0.4484304932735426,8.29875518672199
2014-08-29,0.10986342766666665,0.08831397333333334,79482576,166.401,0.2,2.23,11.98,5.0,0.4484304932735426,8.347245409015025
2014-09-02,0.10859832305555554,0.09702362111111111,87321259,166.326,0.2,2.25,12.25,5.0,0.4444444444444444,8.16326530612245
2014-09-03,0.10221902272222223,0.07698637444444445,69287737,166.25,0.2,2.24,12.36,5.0,0.4464285714285714,8.090614886731393
2014-09-04,0.1015778331111111,0.11414943222222222,102734489,166.002,0.2,2.25,12.64,5.0,0.4444444444444444,7.911392405063291
2014-09-05,0.09933785016666666,0.13690680666666666,123216126,166.736,0.2,2.29,12.09,5.0,0.4366812227074236,8.271298593879239
2014-09-08,0.09579498850000001,0.08593261666666667,77339355,166.316,0.21,2.26,12.66,4.761904761904762,0.4424778761061947,7.898894154818326
2014-09-09,0.09673373938888889,0.11864876111111111,106783885,165.233,0.21,2.25,13.5,4.761904761904762,0.4444444444444444,7.407407407407407
